,ConstituentID,DisplayName,Region,Gender,BeginDate,Wiki QID,Income ($)
20,25,E. M. Ashe,Windhoek; Namibia; Southern Africa; Africa,Male,1867,Q476192,11600
21,26,Göran Åslin,Marigot; Saint-Martin (French part); Caribbean; Americas,Female,1940,Q1294178,20900
22,27,Erik Gunnar Asplund,Algiers; Algeria; Northern Africa; Africa,Male,1885,Q312070,9300
23,28,Geneviève Asse,Longyearbyen; Svalbard And Jan Mayen Islands; Northern Europe; Europe,Female,1923,Q1978192,9300
24,30,Sergio Asti,San Juan; Puerto Rico; Caribbean; Americas,Male,1926,Q78884,11600
25,31,Dana Atchley,Bratislava; Slovakia; Eastern Europe; Europe,Female,1941,Q170256,5400
26,32,Atelier Eggers,New Delhi; India; Southern Asia; Asia,male,1999,Q1406497,11600
27,33,A.A.P.,Ottawa; Canada; Northern America; Americas,Male,1864,Q472846,20900
28,34,Alvar Aalto,Nouakchott; Mauritania; Western Africa; Africa,Male,1898,Q82840,5400
29,35,Aino Aalto,Bratislava; Slovakia; Eastern Europe; Europe,Female,1894,Q273511,12400
30,36,Eero Aarnio,Dushanbe; Tajikistan; Central Asia; Asia,Male,1932,Q707025,25800
31,37,Jules Aarons,Prague; Czech Republic; Eastern Europe; Europe,Male,1921,Q10444417,9300
32,38,Magdalena Abakanowicz,Castries; Saint Lucia; Caribbean; Americas,Female,1930,Q158080,9300
33,39,James Abbe,Port-aux-Francais; French Southern Territories; Southern Africa; Africa,Male,1883,Q321301,9300
34,40,Jussuf Abbo,San Marino; San Marino; Southern Europe; Europe,Male,1888,Q5040566,5400
35,41,Berenice Abbott,Moroni; Comoros; Eastern Africa; Africa,Female,1898,Q231861,25800
36,42,Nobuya Abe,Funafuti; Tuvalu; Polynesia; Oceania,Male,1913,Q19279749,22200
37,43,Abe Shiro (pen Name: Suichiku),Phnom Penh; Cambodia; South-Eastern Asia; Asia,Male,1900,Q4764114,12400
38,44,Robert Abel,Bridgetown; Barbados; Caribbean; Americas,Male,1937,Q7341326,20900
39,46,Sigmund Abeles,Fort-de-France; Martinique; Caribbean; Americas,Male,1934,Q1396516,34400
40,47,Raimund Abraham,Macao; Macau S.A.R.; Eastern Asia; Asia,Male,1933,Q78819,9000
41,49,Ivor Abrahams,Gustavia; Saint-Barthelemy; Caribbean; Americas,Male,1935,Q11714362,9300
42,50,Gerald Abramovitz,Porto-Novo; Benin; Western Africa; Africa,Male,1928,Q6270284,34700
43,51,William Ross Abrams,Kigali; Rwanda; Eastern Africa; Africa,Male,1920,Q156426,9300
44,52,Rodolfo Abularach,Tunis; Tunisia; Northern Africa; Africa,Male,1933,Q7357131,17200
45,53,Vito Acconci,Ulan Bator; Mongolia; Eastern Asia; Asia,Male,1940,Q433471,9000
46,54,Milton Ackoff,Sofia; Bulgaria; Eastern Europe; Europe,Male,1915,Q6697422,9300
47,55,Norman Ackroyd,Moroni; Comoros; Eastern Africa; Africa,Male,2010,Q7051892,34400
48,56,Luis Alberto Acuña,Suva; Fiji Islands; Melanesia; Oceania,Male,1904,Q478264,9300
49,57,Henri Georges Adam,The Valley; Anguilla; Caribbean; Americas,Male,1904,Q662900,22200
50,58,Antoine Samuel Adam-Salomon,Ouagadougou; Burkina Faso; Western Africa; Africa,Male,1818,Q18685314,11600
51,59,Valerio Adami,Ljubljana; Slovenia; Southern Europe; Europe,Male,1935,Q562139,17200
52,60,Ansel Adams,Berlin; Germany; Western Europe; Europe,Male,1902,Q60809,22200
53,61,Alice Adams,Brasilia; Brazil; South America; Americas,Female,1930,Q4725709,17200
54,62,Clinton Adams,Nairobi; Kenya; Eastern Africa; Africa,Male,1918,Q5134058,22200
55,63,Dacres Adams,Belmopan; Belize; Central America; Americas,Male,1864,Q311115,17200
56,64,Dennis Adams,Reykjavik; Iceland; Northern Europe; Europe,Male,1948,Q1036399,11600
57,65,Kenneth M. Adams,Brazzaville; Congo; Middle Africa; Africa,Male,1897,Q16193971,11600
58,66,Robert Adams,Khartoum; Sudan; Northern Africa; Africa,Male,1937,Q1392710,12400
59,67,Shelby Lee Adams,Buenos Aires; Argentina; South America; Americas,Female,1950,Q2164544,12400
60,68,Charles Addams,Doha; Qatar; Western Asia; Asia,Male,1912,Q361106,9300
61,69,Allan Adler,Astana; Kazakhstan; Central Asia; Asia,Male,1916,Q893729,3100
62,70,Jankel Adler,Fort-de-France; Martinique; Caribbean; Americas,Male,1895,Q213726,22200
63,71,Virginia Admiral,Paramaribo; Suriname; South America; Americas,Female,1915,Q7815833,34400
64,72,Pic Adrian,Kiev; Ukraine; Eastern Europe; Europe,Male,1910,Q2997862,11600
65,74,Roy Adzak,Dodoma; Tanzania; Eastern Africa; Africa,Male,1927,Q3445734,11600
66,76,Nicholas Africano,Kabul; Afghanistan; Southern Asia; Asia,Male,1948,Q6204894,22200
67,77,Afro (Afro Basaldella),The Valley; Anguilla; Caribbean; Americas,Male,1912,Q388090,9300
68,78,Aftograf,Philipsburg; Sint Maarten (Dutch part); Caribbean; Americas,Male,1823,Q8006794,25800
69,79,Agam (Yaacov Agam),Dublin; Ireland; Northern Europe; Europe,Male,1928,Q276030,43100
70,80,Mehemed Fehmy Agha,Brussels; Belgium; Western Europe; Europe,Male,1896,Q3853982,17200
71,81,Kathleen Agnoli,Amman; Jordan; Western Asia; Asia,Female,1945,Q5363286,3100
72,82,Peter Agostini,Yaounde; Cameroon; Middle Africa; Africa,Male,1913,Q743633,20900
73,83,Olympe Aguado de las Marismas,Minsk; Belarus; Eastern Europe; Europe,Male,1827,Q2734214,20900
74,84,Dongkuk S. Ahn,Vaduz; Liechtenstein; Western Europe; Europe,Male,1937,Q547803,6500
75,85,Aarne Aho,Nuku'alofa; Tonga; Polynesia; Oceania,Male,1904,Q16197269,20900
76,86,Otl Aicher (also known as Otto Aicher),Niamey; Niger; Western Africa; Africa,Male,1922,Q61191,12400
77,87,Lucien Aigner,Bandar Seri Begawan; Brunei; South-Eastern Asia; Asia,Male,1901,Q3265338,6500
78,88,Gregory Ain,Sanaa; Yemen; Western Asia; Asia,Male,1908,Q5606793,6500
79,89,Edgar Ainsworth,Berlin; Germany; Western Europe; Europe,Male,1906,Q160448,11600
80,91,Roberto Aizenberg,Charlotte Amalie; Virgin Islands (US); Caribbean; Americas,Male,1928,Q328645,9300
81,92,Kinji Akagawa,Pyongyang; Korea North; Eastern Asia; Asia,Male,1940,Q330528,12400
82,93,Ryoji Akiyama,Port-au-Prince; Haiti; Caribbean; Americas,Male,1942,Q7385596,6500
83,94,Munira Al-Kazi,San Jose; Costa Rica; Central America; Americas,Female,1939,Q528460,9300
84,95,Alastair (Hans H. Voight),Abu Dhabi; United Arab Emirates; Western Asia; Asia,Male,1887,Q352437,42800
85,96,Anni Albers,Damascus; Syria; Western Asia; Asia,Female,1899,Q86078,3100
86,97,Josef Albers,N'Djamena; Chad; Middle Africa; Africa,Male,1888,Q170071,9300
87,98,Beatrice Albert,Lome; Togo; Western Africa; Africa,Female,1746,Q1808028,34400
88,99,Joan Albert,Avarua; Cook Islands; Polynesia; Oceania,Female,1943,Q2278560,17200
89,100,Ivan LeLorraine Albright,Port-au-Prince; Haiti; Caribbean; Americas,Male,1897,Q1392676,11600
90,101,Album-miscellaneous,Berlin; Germany; Western Europe; Europe,Non-Binary,1908,Q567396,25800
91,103,Albert Alcalay,Addis Ababa; Ethiopia; Eastern Africa; Africa,Male,1917,Q1286781,17200
92,104,L. (Alfred Lewin Copley) Alcopley,Suva; Fiji Islands; Melanesia; Oceania,Male,1910,Q3611295,9000
93,105,A. Alcorn,George Town; Cayman Islands; Caribbean; Americas,female,1868,Q719919,12400
94,106,Alan Aldridge,San Marino; San Marino; Southern Europe; Europe,Male,1943,Q2225576,17200
95,107,Pierre Alechinsky,Yerevan; Armenia; Western Asia; Asia,Male,1927,Q328248,12400
96,108,Peter Alexander,Quito; Ecuador; South America; Americas,Male,1939,Q5046526,12400
97,111,Carlo Alfano,Tashkent; Uzbekistan; Central Asia; Asia,Male,1986,Q214564,17200
98,112,José R. Alicea,Brasilia; Brazil; South America; Americas,Male,1928,Q1576083,22200
99,113,Leopoldo and Guiseppe Alinari,Rome; Italy; Southern Europe; Europe,Female,1840,Q175412,9300
100,114,James Alinder,Basse-Terre; Guadeloupe; Caribbean; Americas,Male,1941,Q6034037,34400
101,115,Yves Alix,Cayenne; French Guiana; South America; Americas,Male,1890,Q151679,9000
102,116,Wobbe Alkema,Port-aux-Francais; French Southern Territories; Southern Africa; Africa,Male,1900,Q1383731,11600
103,117,William Allan,Tehran; Iran; Southern Asia; Asia,Male,1936,Q373689,17200
104,118,Alexander Alland,Nicosia; Cyprus; Southern Europe; Europe,Male,1902,Q1937358,11600
105,119,Harry Allen,Kiev; Ukraine; Eastern Europe; Europe,Male,1964,Q644867,9300
106,120,Terry Allen,West Island; Cocos (Keeling) Islands; Australia and New Zealand; Oceania,Male,1943,Q1279401,17200
107,121,Adrian Allinson,San Juan; Puerto Rico; Caribbean; Americas,Male,1890,Q185850,22200
108,123,Carlos Alonso,Bandar Seri Begawan; Brunei; South-Eastern Asia; Asia,Male,1929,Q3724491,17200
109,124,Glen Alps,Mogadishu; Somalia; Eastern Africa; Africa,Male,1914,Q2589784,22200
110,126,Henry Altchek,Nassau; Bahamas The; Caribbean; Americas,Male,1943,Q320241,17200
111,127,Gerhard Altenbourg,Nuuk; Greenland; Northern America; Americas,Male,1926,Q111018,3100
112,128,Hobie Alter,Port-aux-Francais; French Southern Territories; Southern Africa; Africa,Male,1933,Q781717,6500
113,129,Harold Altman,Riga; Latvia; Northern Europe; Europe,Male,1924,Q11595061,17200
114,131,Giacchino Altobelli,Cockburn Town; Turks And Caicos Islands; Caribbean; Americas,Male,1814,Q7411613,17200
115,132,John Altoon,Pago Pago; American Samoa; Polynesia; Oceania,Male,1925,Q4062989,9300
116,135,Manuel Álvarez Bravo,Charlotte Amalie; Virgin Islands (US); Caribbean; Americas,Male,1902,Q712262,20900
117,136,Dag Alveng,Georgetown; Guyana; South America; Americas,Male,1953,Q4875664,17200
118,137,Getulio Alviani,London; United Kingdom; Northern Europe; Europe,Male,1939,Q325200,9300
119,138,Edmond-François Aman Jean,Stockholm; Sweden; Northern Europe; Europe,Male,1858,Q576570,5400
120,139,Kunihiro Amano,Skopje; Macedonia; Southern Europe; Europe,Male,1843,Q2067124,6500
121,140,Jim Amaral,Manila; Philippines; South-Eastern Asia; Asia,Male,1933,Q325925,11600
122,141,Emilio Ambasz,Saint-Denis; Reunion; Eastern Africa; Africa,Male,1943,Q655905,9300
123,142,M. Ameen,Cayenne; French Guiana; South America; Americas,female,1939,Q4669357,17200
124,143,Irving Amen,Beijing; China; Eastern Asia; Asia,Male,1918,Q708482,22200
125,144,Woody van Amen,Dhaka; Bangladesh; Southern Asia; Asia,Male,1936,Q6179808,20900
126,145,Gregory Amenoff,Brasilia; Brazil; South America; Americas,Male,1948,Q6074722,5400
127,148,Florencia de Amesti,"Douglas, Isle of Man; Man (Isle of); Northern Europe; Europe",Female,1925,Q930462,6500
128,149,Cuno Amiet,Bangui; Central African Republic; Middle Africa; Africa,Male,1868,Q566797,9000
129,150,Francisco Amighetti Ruiz,Prague; Czech Republic; Eastern Europe; Europe,Male,1907,Q20200829,6500
130,152,Ralph Ammirati,"Douglas, Isle of Man; Man (Isle of); Northern Europe; Europe",Male,1865,Q451564,5400
131,153,Emma Amos,Bujumbura; Burundi; Eastern Africa; Africa,Female,1937,Q5372719,9000
132,154,Mauricio Amster Cats,Hong Kong; Hong Kong S.A.R.; Eastern Asia; Asia,Male,1907,Q1279035,9000
133,155,William Anastasi,Banjul; Gambia The; Western Africa; Africa,Male,1933,Q15459073,9300
134,157,Stephen Ancona,Buenos Aires; Argentina; South America; Americas,Male,1932,Q13080934,22200
135,158,Jiþi Anderle,Praia; Cape Verde; Western Africa; Africa,Male,1936,Q6554574,22200
136,159,Gunnar Aagaard Andersen,Antananarivo; Madagascar; Eastern Africa; Africa,Male,1919,Q3062914,9300
137,160,Karin Schou Andersen,Road Town; Virgin Islands (British); Caribbean; Americas,Female,1953,Q321158,9300
138,161,Clarence William Anderson,Podgorica; Montenegro; Southern Europe; Europe,Male,1891,Q6245074,11600
139,162,Carl Anderson,Hagatna; Guam; Micronesia; Oceania,Male,1903,Q1036742,9000
140,163,Dennis Anderson,New Delhi; India; Southern Asia; Asia,Male,1948,Q578232,34400
141,164,Jeremy Anderson,New Delhi; India; Southern Asia; Asia,Male,1921,Q158840,9000
142,165,James Anderson,Canberra; Australia; Australia and New Zealand; Oceania,Male,1813,Q3160907,49000
143,166,Jerry Anderson,Torshavn; Faroe Islands; Northern Europe; Europe,Male,1938,Q1585855,20900
144,167,John Anderson,Vaduz; Liechtenstein; Western Europe; Europe,Male,1928,Q6113757,11600
145,168,Neil Anderson,Saipan; Northern Mariana Islands; Micronesia; Oceania,Male,1933,Q11531597,5400
146,169,Paul L. Anderson,Madrid; Spain; Southern Europe; Europe,Male,1880,Q7152029,17200
147,170,Monika Andersson,Maseru; Lesotho; Southern Africa; Africa,Female,1957,Q9020185,17200
148,172,Joe Andoe,Ottawa; Canada; Northern America; Americas,Male,1955,Q1576083,11600
149,173,Farnese de Andrade-Neto,Monaco; Monaco; Western Europe; Europe,Male,1926,Q18527008,6500
150,174,Carl Andre,Helsinki; Finland; Northern Europe; Europe,Male,1935,Q315348,9300
151,175,Pat Andrea,Riga; Latvia; Northern Europe; Europe,Male,1942,Q3027988,24100
152,176,A. Andreas,Port Moresby; Papua new Guinea; Melanesia; Oceania,Non-Binary,1923,Q5663891,9300
153,177,Henning Andreasen,Bissau; Guinea-Bissau; Western Africa; Africa,Male,1923,Q5538774,6500
154,178,Laura Andreson,Castries; Saint Lucia; Caribbean; Americas,Female,1902,Q1261996,11600
155,179,Mariano Andreù,Montevideo; Uruguay; South America; Americas,Male,1888,Q234279,45500
156,180,Benny Andrews,St. George's; Grenada; Caribbean; Americas,Male,1930,Q4889934,9000
157,181,Emmy Andriesse,Guatemala City; Guatemala; Central America; Americas,Female,1914,Q530883,9300
158,182,Claudia Andujar,Khartoum; Sudan; Northern Africa; Africa,Female,1931,Q882990,9300
159,183,Manuel Angeles Ortiz,Moroni; Comoros; Eastern Africa; Africa,Male,1895,Q5994858,9300
160,184,Ludwig Angerer,Abuja; Nigeria; Western Africa; Africa,Male,1827,Q1343602,11600
161,185,Bruce Angrave,Nicosia; Cyprus; Southern Europe; Europe,Male,2005,Q564128,11600
162,186,Raúl Anguiano,Djibouti; Djibouti; Eastern Africa; Africa,Male,1915,Q325503,42800
163,188,Sibyl Anikeef,Tbilisi; Georgia; Western Asia; Asia,Female,1896,Q560134,9300
164,189,James Craig Annan,Oranjestad; Aruba; Caribbean; Americas,Male,1864,Q2138560,12400
165,190,Thomas Annan,Tehran; Iran; Southern Asia; Asia,Male,1829,Q1926294,17200
166,193,David Annesley,Castries; Saint Lucia; Caribbean; Americas,Male,1936,Q6531887,9300
167,194,Horst Antes,Ashgabat; Turkmenistan; Central Asia; Asia,Male,1936,Q446519,9300
168,195,William Anthony,The Valley; Anguilla; Caribbean; Americas,Male,1934,Q5236064,17200
169,196,Stephen Antonakos,Bissau; Guinea-Bissau; Western Africa; Africa,Male,1926,Q15429571,20900
170,198,Garo Antreasian,Colombo; Sri Lanka; Southern Asia; Asia,Male,1922,Q1709105,42800
171,199,Nemesio Antúnez,Tallinn; Estonia; Northern Europe; Europe,Male,1918,Q6389939,17200
172,200,Richard Anuszkiewicz,Saint Helier; Jersey; Northern Europe; Europe,Male,1930,Q558505,3100
173,201,Aoki Toshio,Maseru; Lesotho; Southern Africa; Africa,female,1838,Q62351,22200
174,202,Carl Apfelschnitt,Bangkok; Thailand; South-Eastern Asia; Asia,Male,1948,Q6093577,24100
175,203,Karel Appel,Malabo; Equatorial Guinea; Middle Africa; Africa,Male,1921,Q152793,42800
176,204,Leon Appelbaum,Brasilia; Brazil; South America; Americas,Male,1891,Q1086650,9300
177,205,Ida Applebroog,Amman; Jordan; Western Asia; Asia,Female,1929,Q1488149,22200
178,207,Shusaku Arakawa,Riga; Latvia; Northern Europe; Europe,Male,1936,Q478264,11600
179,208,Diane Arbus,Lilongwe; Malawi; Eastern Africa; Africa,Female,1923,Q234608,3100
180,209,Aleksandr Archipenko,Colombo; Sri Lanka; Southern Asia; Asia,Male,1887,Q157578,20900
181,211,Mordecai Ardon,Madrid; Spain; Southern Europe; Europe,Male,1896,Q631835,9300
182,212,Luis Arenal,St. George's; Grenada; Caribbean; Americas,Male,1909,Q92340,12400
183,214,Egmont Arens,Ottawa; Canada; Northern America; Americas,Male,1888,Q1298270,9000
184,215,Tamotsu Arikawa,Maseru; Lesotho; Southern Africa; Africa,Male,1803,Q2440237,9300
185,216,Avigdor Arikha,London; United Kingdom; Northern Europe; Europe,Male,1929,Q7411613,22200
186,217,Gonzalo Ariza,Saint-Denis; Reunion; Eastern Africa; Africa,Male,1912,Q312838,11600
187,218,Alda Maria Armagni,Ulan Bator; Mongolia; Eastern Asia; Asia,Female,1902,Q2916723,9000
188,219,Siah Armajani,Accra; Ghana; Western Africa; Africa,Male,1939,Q325184,9300
189,220,Arman,Port Moresby; Papua new Guinea; Melanesia; Oceania,Male,1928,Q367973,11600
190,221,Armando,Dodoma; Tanzania; Eastern Africa; Africa,Male,1929,Q1485390,38600
191,222,F. Armbruster,Tarawa; Kiribati; Micronesia; Oceania,female,1804,Q156622,24100
192,224,Kenneth Armitage,Kuala Lumpur; Malaysia; South-Eastern Asia; Asia,Male,1916,Q659535,6500
193,225,John Taylor Arms,Santiago; Chile; South America; Americas,Male,1887,Q6260399,6500
194,226,John Armstrong,Banjul; Gambia The; Western Africa; Africa,Male,1893,Q19325186,34700
195,227,François Arnal,Noumea; New Caledonia; Melanesia; Oceania,Male,1924,Q18671475,9300
196,228,Arndt,San Jose; Costa Rica; Central America; Americas,female,1898,Q281637,11600
197,229,Eugène Atget,Manama; Bahrain; Western Asia; Asia,Male,1857,Q322030,5400
198,230,John Atherton,Accra; Ghana; Western Africa; Africa,Male,1900,Q20200670,17200
199,231,Anna Atkins,Victoria; Seychelles; Eastern Africa; Africa,Female,1799,Q1347062,11600
200,232,Conrad Atkinson,Vientiane; Laos; South-Eastern Asia; Asia,Male,1940,Q327862,11600
201,233,Lawrence Atkinson,Santo Domingo; Dominican Republic; Caribbean; Americas,Male,1873,Q4072108,24100
202,234,Terry Atkinson,Hagatna; Guam; Micronesia; Oceania,Male,1939,Q325740,9300
203,235,Jean-Michel Atlan,Guatemala City; Guatemala; Central America; Americas,Male,1913,Q689646,9300
204,236,Dotty Attie,Fort-de-France; Martinique; Caribbean; Americas,Female,1938,Q5299500,6500
205,238,Carl Auböck,Basseterre; Saint Kitts And Nevis; Caribbean; Americas,Male,1924,Q18020850,9000
206,239,Charles Aubry,Sarajevo; Bosnia and Herzegovina; Southern Europe; Europe,Male,1811,Q449677,9300
207,240,Frank Auerbach,Maseru; Lesotho; Southern Africa; Africa,Male,1931,Q215919,17200
208,241,Gae Aulenti,Canberra; Australia; Australia and New Zealand; Oceania,Female,1930,Q8867,17200
209,242,Keith James Aulik,Port Louis; Mauritius; Eastern Africa; Africa,Male,1803,Q248070,24100
210,243,George Ault,Kingston; Norfolk Island; Australia and New Zealand; Oceania,Male,1891,Q2282231,9300
211,245,Irving Austin,Singapur; Singapore; South-Eastern Asia; Asia,Male,1800,Q1406524,9300
212,246,Mario Avati,Brasilia; Brazil; South America; Americas,Male,1921,Q123560,17200
213,247,Edward Avedisian,Jerusalem; Israel; Western Asia; Asia,Male,1936,Q5341650,17200
214,248,Richard Avedon,Kingston; Norfolk Island; Australia and New Zealand; Oceania,Male,1923,Q305497,12400
215,249,Frances Avery,Bangkok; Thailand; South-Eastern Asia; Asia,Female,1910,Q159465,38600
216,250,Milton Avery,Pago Pago; American Samoa; Polynesia; Oceania,Male,1885,Q2714574,9300
217,251,David Avison,Marigot; Saint-Martin (French part); Caribbean; Americas,Male,1965,Q1471865,9300
218,252,Mordechai Avniel,Athens; Greece; Southern Europe; Europe,Male,1901,Q508344,22200
219,254,Kiyoshi Awazu,Reykjavik; Iceland; Northern Europe; Europe,Male,1929,Q7326615,5400
220,255,Ay-O,Dushanbe; Tajikistan; Central Asia; Asia,Male,1931,Q2874830,9300
221,256,Alice Aycock,Skopje; Macedonia; Southern Europe; Europe,Female,1946,Q523722,20900
222,257,Pierre Ayot,Phnom Penh; Cambodia; South-Eastern Asia; Asia,Male,1943,Q6229503,20900
223,258,Michael Ayrton,Abuja; Nigeria; Western Africa; Africa,Male,1921,Q2739689,6500
224,259,Luis Cruz Azaceta,Nouakchott; Mauritania; Western Africa; Africa,Male,1942,Q151580,9000
225,260,Umetaro Azechi,Budapest; Hungary; Eastern Europe; Europe,Male,1902,Q11578726,25800
226,261,Kengiro Azuma,Saipan; Northern Mariana Islands; Micronesia; Oceania,Male,1926,Q139095,6500
227,262,Johannes Baader,Montevideo; Uruguay; South America; Americas,Male,1875,Q67897,12400
228,263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),Mexico City; Mexico; Central America; Americas,Male,1892,Q481655,5400
229,264,Kurt W. Baasch,Nicosia; Cyprus; Southern Europe; Europe,Male,1891,Q1521652,12400
230,265,Alice Baber,Paris; France; Western Europe; Europe,Female,1928,Q1948483,3100
231,266,Bacard Fils,Basse-Terre; Guadeloupe; Caribbean; Americas,Male,1810,Q6239304,9300
232,268,Edmondo Bacci,Bamako; Mali; Western Africa; Africa,Male,1913,Q365911,9300
233,269,Elvira Bach,Sanaa; Yemen; Western Asia; Asia,Female,1951,Q7364996,11600
234,270,Olof Backman,London; United Kingdom; Northern Europe; Europe,Male,1899,Q317574,49000
235,271,Olof Backstrom,Saint Helier; Jersey; Northern Europe; Europe,Male,1922,Q2703990,6500
236,272,Francis Bacon,Kiev; Ukraine; Eastern Europe; Europe,Male,1909,Q154340,5400
237,273,Peggy Bacon,Pyongyang; Korea North; Eastern Asia; Asia,Female,1895,Q7160630,9300
238,275,Karl Baden,Paramaribo; Suriname; South America; Americas,Male,1952,Q197331,20900
239,276,Mowry Thatcher Baden,Beijing; China; Eastern Asia; Asia,Male,1936,Q1927568,11600
240,277,Aquiles Badi,Ottawa; Canada; Northern America; Americas,Male,1894,Q3376863,9300
241,278,Libero Badii,Bratislava; Slovakia; Eastern Europe; Europe,Male,1916,Q471243,9000
242,279,Frank Badur,Tashkent; Uzbekistan; Central Asia; Asia,Male,1944,Q5912,3100
243,280,Donald Baechler,Mogadishu; Somalia; Eastern Africa; Africa,Male,1956,Q2127242,9000
244,281,Jo Baer,Sucre; Bolivia; South America; Americas,Female,1929,Q1689871,12400
245,282,Martin Baer,Kuwait City; Kuwait; Western Asia; Asia,Male,1894,Q321657,9000
246,283,Olle Baertling,Dili; East Timor; South-Eastern Asia; Asia,Male,1911,Q123080,17200
247,284,Myrna Báez,Dhaka; Bangladesh; Southern Asia; Asia,Female,1931,Q739129,9300
248,285,John Bageris,Guatemala City; Guatemala; Central America; Americas,Male,1924,Q6220240,6500
249,286,Heinz Bahr,Amman; Jordan; Western Asia; Asia,Male,1934,Q238616,17200
250,287,Malcolm Bailey,Nuuk; Greenland; Northern America; Americas,Male,1947,Q1360756,6500
251,288,Oscar Bailey,Asmara; Eritrea; Eastern Africa; Africa,Male,1925,Q433895,9000
252,289,William Bailey,Nairobi; Kenya; Eastern Africa; Africa,Male,1930,Q704588,9000
253,290,Larry Bair,Moscow; Russia; Eastern Europe; Europe,Male,1952,Q1353731,9000
254,291,Eugenie Baizerman,Gibraltar; Gibraltar; Southern Europe; Europe,Female,1899,Q255294,5400
255,292,Enrico Baj,Hong Kong; Hong Kong S.A.R.; Eastern Asia; Asia,Male,1924,Q765758,6500
256,294,Carl Baker,The Valley; Anguilla; Caribbean; Americas,Male,1965,Q185850,22200
257,296,Mikal Baker,Tokyo; Japan; Eastern Asia; Asia,Male,1946,Q551899,9000
258,298,Vagrich Bakhchanyan,Tegucigalpa; Honduras; Central America; Americas,Male,1938,Q3710086,9000
259,299,Gerhard H. Bakker,Berlin; Germany; Western Europe; Europe,Male,1903,Q1351247,6500
260,300,Léon Bakst,Hong Kong; Hong Kong S.A.R.; Eastern Asia; Asia,Male,1866,Q214666,22200
261,301,Gerard Baksteen,Havana; Cuba; Caribbean; Americas,Male,1887,Q7493916,9300
262,302,Amèrico Balán,Ljubljana; Slovenia; Southern Europe; Europe,Male,1915,Q4526845,43100
263,303,Jirí Balcar,N'Djamena; Chad; Middle Africa; Africa,Male,1929,Q6688131,17200
264,304,John Baldessari,Havana; Cuba; Caribbean; Americas,Male,1931,Q683378,9300
265,305,George Baldessin,West Island; Cocos (Keeling) Islands; Australia and New Zealand; Oceania,Male,1939,Q555224,9300
266,307,C. Leroy Baldridge,Budapest; Hungary; Eastern Europe; Europe,Male,1889,Q3460581,9000
267,308,Édouard-Denis Baldus,Bujumbura; Burundi; Eastern Africa; Africa,Male,1813,Q71244,22200
268,309,Benjamin Baldwin,Podgorica; Montenegro; Southern Europe; Europe,Male,1913,Q6989468,9300
269,310,Joost Baljeu,Conakry; Guinea; Western Africa; Africa,Male,1925,Q12012418,12400
270,311,Giacomo Balla,Reykjavik; Iceland; Northern Europe; Europe,Male,1871,Q368254,9300
271,313,R. Maxil Ballinger,Vientiane; Laos; South-Eastern Asia; Asia,Male,1914,Q2506375,12400
272,314,Theo H. Ballmer,Rome; Italy; Southern Europe; Europe,Male,1902,Q2416828,17200
273,315,Alexander Bally,Tashkent; Uzbekistan; Central Asia; Asia,Male,1938,Q20200670,34700
274,316,John F. Balossi,Marigot; Saint-Martin (French part); Caribbean; Americas,Male,1931,Q1984317,17200
