Region,BeginDate,Income ($)
Syria,1890,3100
Chad,1880,9300
World,1730-2010,34400
Cook Islands,1940,17200
Haiti,1890,11600
Germany,1900,25800
Ethiopia,1910,17200
Fiji Islands,1910,9000
World,1730-2010,12400
San Marino,1940,17200
Armenia,1920,12400
Ecuador,1930,12400
Uzbekistan,1980,17200
Brazil,1920,22200
World,1730-2010,9300
Guadeloupe,1940,34400
French Guiana,1890,9000
World,1730-2010,11600
Iran,1930,17200
Cyprus,1900,11600
Ukraine,1960,9300
World,1730-2010,17200
Puerto Rico,1890,22200
Brunei,1920,17200
World,1730-2010,22200
Bahamas The,1940,17200
Greenland,1920,3100
French Southern Territories,1930,6500
Latvia,1920,17200
World,1730-2010,17200
American Samoa,1920,9300
Virgin Islands (US),1900,20900
Guyana,1950,17200
World,1730-2010,9300
World,1730-2010,5400
Macedonia,1840,6500
Philippines,1930,11600
Reunion,1940,9300
World,1730-2010,17200
China,1910,22200
Bangladesh,1930,20900
Brazil,1940,5400
Man (Isle of),1920,6500
World,1730-2010,9000
World,1730-2010,6500
World,1730-2010,5400
Burundi,1930,9000
Hong Kong S.A.R.,1900,9000
Gambia The,1930,9300
Argentina,1930,22200
Cape Verde,1930,22200
Madagascar,1910,9300
Virgin Islands (British),1950,9300
Montenegro,1890,11600
Guam,1900,9000
India,1940,34400
India,1920,9000
World,1730-2010,49000
Faroe Islands,1930,20900
Liechtenstein,1920,11600
Northern Mariana Islands,1930,5400
World,1730-2010,17200
Lesotho,1950,17200
Canada,1950,11600
Monaco,1920,6500
Finland,1930,9300
Latvia,1940,24100
Papua new Guinea,1920,9300
Guinea-Bissau,1920,6500
Saint Lucia,1900,11600
World,1730-2010,45500
Grenada,1930,9000
Guatemala,1910,9300
Sudan,1930,9300
World,1730-2010,9300
World,1730-2010,11600
World,1730-2010,11600
Djibouti,1910,42800
Georgia,1890,9300
World,1730-2010,12400
Iran,1820,17200
Saint Lucia,1930,9300
Turkmenistan,1930,9300
Anguilla,1930,17200
Guinea-Bissau,1920,20900
Sri Lanka,1920,42800
Estonia,1910,17200
Jersey,1930,3100
World,1730-2010,22200
Thailand,1940,24100
Equatorial Guinea,1920,42800
Brazil,1890,9300
Jordan,1920,22200
Latvia,1930,11600
Malawi,1920,3100
World,1730-2010,20900
Spain,1890,9300
World,1730-2010,12400
World,1730-2010,9000
World,1730-2010,9300
United Kingdom,1920,22200
World,1730-2010,11600
Mongolia,1900,9000
Ghana,1930,9300
Papua new Guinea,1920,11600
Tanzania,1920,38600
World,1730-2010,24100
World,1730-2010,6500
Chile,1880,6500
Gambia The,1890,34700
New Caledonia,1920,9300
Costa Rica,1890,11600
World,1730-2010,5400
Ghana,1900,17200
World,1730-2010,11600
Laos,1940,11600
Dominican Republic,1870,24100
Guam,1930,9300
Guatemala,1910,9300
Martinique,1930,6500
Saint Kitts And Nevis,1920,9000
World,1730-2010,9300
Lesotho,1930,17200
Australia,1930,17200
World,1730-2010,24100
Norfolk Island,1890,9300
World,1730-2010,9300
Brazil,1920,17200
Israel,1930,17200
Norfolk Island,1920,12400
World,1730-2010,38600
American Samoa,1880,9300
Saint-Martin (French part),1960,9300
Greece,1900,22200
Iceland,1920,5400
Tajikistan,1930,9300
Macedonia,1940,20900
World,1730-2010,20900
Nigeria,1920,6500
Mauritania,1940,9000
World,1730-2010,25800
Northern Mariana Islands,1920,6500
World,1730-2010,12400
World,1730-2010,5400
World,1730-2010,12400
France,1920,3100
World,1730-2010,9300
Mali,1910,9300
World,1730-2010,11600
United Kingdom,1890,49000
World,1730-2010,6500
Ukraine,1900,5400
Korea North,1890,9300
World,1730-2010,20900
China,1930,11600
Canada,1890,9300
Slovakia,1910,9000
Uzbekistan,1940,3100
Somalia,1950,9000
Bolivia,1920,12400
Kuwait,1890,9000
World,1730-2010,17200
Bangladesh,1930,9300
World,1730-2010,6500
Jordan,1930,17200
Greenland,1940,6500
Eritrea,1920,9000
Kenya,1930,9000
Russia,1950,9000
Gibraltar,1890,5400
Hong Kong S.A.R.,1920,6500
Anguilla,1960,22200
Japan,1940,9000
Honduras,1930,9000
Germany,1900,6500
World,1730-2010,22200
Cuba,1880,9300
Slovenia,1910,43100
Chad,1920,17200
Cuba,1930,9300
Cocos (Keeling) Islands,1930,9300
World,1730-2010,9000
World,1730-2010,22200
World,1730-2010,9300
Guinea,1920,12400
World,1730-2010,9300
Laos,1910,12400
Italy,1900,17200
Uzbekistan,1930,34700
Saint-Martin (French part),1930,17200
Ecuador,1900,17200
Tanzania,1940,9300
Sint Maarten (Dutch part),1940,11600
Switzerland,1920,3100
East Timor,1930,17200
Norway,1930,17200
Greece,1900,9300
Greece,1920,24100
Lesotho,1880,24100
Kuwait,1940,11600
Cayman Islands,1950,20900
Falkland Islands,1940,17200
World,1730-2010,11600
Cote D'Ivoire (Ivory Coast),1920,12400
Dominica,1940,12400
Slovenia,1920,9000
World,1730-2010,9300
World,1730-2010,25800
World,1730-2010,9300
Indonesia,1880,9300
Mali,1930,11600
Nauru,1910,22200
Qatar,1940,24100
Ethiopia,1920,42800
Honduras,1920,9300
World,1730-2010,5400
World,1730-2010,34700
Madagascar,1940,5400
Iceland,1930,12400
World,1730-2010,9300
Wallis And Futuna Islands,1930,5400
Saint Lucia,1920,5400
Guyana,1940,24100
Australia,1920,9300
Belarus,1900,42800
Malta,1940,17200
Greenland,1920,45500
Saint-Barthelemy,1930,3100
Djibouti,1890,9300
Cayman Islands,1950,22200
Bermuda,1920,9000
Armenia,1890,20900
China,1910,9300
Mozambique,1920,39500
Libya,1930,17200
Saint Kitts And Nevis,1930,12400
British Indian Ocean Territory,1920,9000
Haiti,1960,22200
Moldova,1940,34400
Italy,1920,9300
Wallis And Futuna Islands,1920,11600
Kenya,1930,9000
Kiribati,1890,34400
Honduras,1880,3100
Reunion,1940,20900
Palestinian Territory Occupied,1930,5400
Taiwan,1900,20900
World,1730-2010,9000
Tajikistan,1870,3100
World,1730-2010,5400
World,1730-2010,22200
World,1730-2010,9300
Cambodia,1930,9300
Saint-Barthelemy,1810,24100
Djibouti,1930,3100
Lesotho,1920,9300
World,1730-2010,3100
World,1730-2010,24100
Vietnam,1940,12400
Saint Pierre and Miquelon,1900,5400
World,1730-2010,9300
Pitcairn Island,1930,12400
World,1730-2010,22200
Dominican Republic,1900,5400
Tanzania,1940,9300
Mauritania,1930,9000
Lithuania,1940,11600
Bhutan,1900,5400
Mali,1920,9000
Ukraine,1910,24100
Martinique,1870,9000
Kyrgyzstan,1930,22200
World,1730-2010,9300
Virgin Islands (British),1950,6500
El Salvador,1910,9300
World,1730-2010,17200
Cayman Islands,1930,17200
Japan,1910,9300
World,1730-2010,22200
Ireland,1900,17200
World,1730-2010,17200
Greece,1920,17200
Solomon Islands,1890,24100
Uruguay,1940,11600
New Zealand,1930,6500
World,1730-2010,9000
Tonga,1930,24100
World,1730-2010,17200
Micronesia,1960,9300
Burundi,1910,9000
Kosovo,1940,11600
World,1730-2010,12400
World,1730-2010,34700
Syria,1880,12400
Greece,1890,9000
Lesotho,1880,22200
World,1730-2010,9300
Grenada,1940,6500
Malawi,1860,17200
Papua new Guinea,1860,12400
India,1910,24100
Saint Pierre and Miquelon,1930,22200
French Southern Territories,1920,11600
World,1730-2010,25800
World,1730-2010,20900
New Caledonia,1930,11600
World,1730-2010,20900
World,1730-2010,25800
World,1730-2010,9000
Bosnia and Herzegovina,1930,9300
Kyrgyzstan,1940,11600
World,1730-2010,9000
France,1930,12400
Taiwan,1900,12400
World,1730-2010,20900
Montserrat,1880,9300
Sri Lanka,1940,17200
Korea North,1920,20900
Pitcairn Island,1940,12400
World,1730-2010,11600
World,1730-2010,34700
World,1730-2010,3100
World,1730-2010,3100
Chad,1950,11600
World,1730-2010,5400
World,1730-2010,6500
Chad,1940,17200
Tuvalu,1940,9000
Laos,1930,12400
World,1730-2010,3100
Benin,1940,6500
Austria,1930,12400
Sri Lanka,1940,9300
World,1730-2010,22200
World,1730-2010,9300
World,1730-2010,3100
World,1730-2010,17200
World,1730-2010,17200
Canada,1930,9300
World,1730-2010,34400
British Indian Ocean Territory,1880,12400
Japan,1920,17200
Moldova,1890,38600
Dominica,1900,24100
World,1730-2010,9000
Jersey,1910,11600
Somalia,1930,9300
World,1730-2010,5400
Ukraine,1930,9000
Saint Pierre and Miquelon,1940,9300
Mongolia,1920,22200
World,1730-2010,9300
Switzerland,1940,9300
Mauritania,1890,3100
Romania,1940,3100
Congo,1890,9300
World,1730-2010,25800
Congo,1900,22200
Dominican Republic,1890,5400
Cayman Islands,1920,22200
Swaziland,1950,9300
Madagascar,1910,12400
United States,1920,24100
India,1920,24100
World,1730-2010,9000
World,1730-2010,9300
Korea South,1900,11600
World,1730-2010,17200
Saint Kitts And Nevis,1940,17200
World,1730-2010,9300
World,1730-2010,5400
Venezuela,1900,24100
Hong Kong S.A.R.,1930,12400
Trinidad And Tobago,1940,17200
Central African Republic,1930,20900
Norway,1890,9300
Angola,1930,25800
Honduras,1920,9300
World,1730-2010,11600
World,1730-2010,6500
French Guiana,1890,11600
Marshall Islands,1930,9300
World,1730-2010,34700
Burundi,1930,17200
Cayman Islands,1920,34400
Swaziland,1910,9300
World,1730-2010,12400
World,1730-2010,9300
World,1730-2010,20900
World,1730-2010,17200
Mozambique,1950,11600
World,1730-2010,11600
World,1730-2010,12400
World,1730-2010,22200
Yemen,1920,9300
Hong Kong S.A.R.,1900,9300
World,1730-2010,12400
Paraguay,1930,17200
Netherlands The,1950,17200
Sudan,1900,9000
Guinea,1910,9000
Niger,1950,17200
Wallis And Futuna Islands,1930,9300
Saint Vincent And The Grenadines,1930,39500
Trinidad And Tobago,1950,11600
World,1730-2010,12400
Ethiopia,1900,11600
Algeria,1940,34400
World,1730-2010,6500
Bosnia and Herzegovina,1930,9000
World,1730-2010,11600
Canada,1890,17200
Malaysia,1890,9000
World,1730-2010,9300
Jamaica,1920,9300
Japan,1910,12400
Saint Vincent And The Grenadines,1930,9000
Myanmar,1910,12400
Hong Kong S.A.R.,1910,6500
Saint-Barthelemy,1900,22200
San Marino,1920,9000
Tonga,1940,6500
Bermuda,1930,20900
World,1730-2010,6500
Czech Republic,1890,34400
World,1730-2010,5400
South Africa,1890,20900
Iran,1820,9300
World,1730-2010,6500
Bosnia and Herzegovina,1930,5400
Barbados,1930,42800
Tonga,1920,9000
Andorra,1940,9300
World,1730-2010,5400
Oman,1950,17200
South Africa,1910,24100
Mauritius,1930,24100
Ireland,1900,11600
Micronesia,1930,12400
Wallis And Futuna Islands,1910,17200
Lebanon,1920,6500
Jordan,1950,12400
Netherlands The,1950,11600
Sri Lanka,1930,20900
Lebanon,1900,24100
Nepal,1920,22200
World,1730-2010,12400
Gabon,1940,11600
Brazil,1920,9300
World,1730-2010,11600
Venezuela,1890,24100
Honduras,1880,11600
French Polynesia,1880,24100
Equatorial Guinea,1920,20900
Nicaragua,1940,9300
Iran,1940,17200
Moldova,1950,25800
Turks And Caicos Islands,1910,17200
Barbados,1930,24100
Suriname,1920,20900
World,1730-2010,12400
Iran,1920,11600
Fiji Islands,1930,17200
Germany,1930,12400
Botswana,1930,6500
Yemen,1900,9300
World,1730-2010,20900
France,1910,9000
World,1730-2010,17200
Gambia The,1940,24100
Reunion,1930,9300
Malta,1960,12400
World,1730-2010,9300
Serbia,1930,12400
Saint Helena,1930,9300
Sint Maarten (Dutch part),1900,24100
World,1730-2010,22200
Oman,1920,11600
Czech Republic,1890,3100
Greece,1880,9300
Cote D'Ivoire (Ivory Coast),1940,11600
Liberia,1920,9300
Slovakia,1920,24100
Tonga,1940,20900
World,1730-2010,9300
Eritrea,1920,17200
World,1730-2010,25800
World,1730-2010,9300
World,1730-2010,11600
India,1940,6500
Malawi,1900,20900
Serbia,1940,9000
Somalia,1930,12400
Lebanon,1890,9300
World,1730-2010,3100
World,1730-2010,34700
Norway,1920,22200
Guyana,1940,9000
Turks And Caicos Islands,1980,20900
Liechtenstein,1870,43100
San Marino,1910,20900
French Polynesia,1920,39500
Finland,1920,20900
World,1730-2010,6500
Monaco,1900,12400
Latvia,1920,24100
World,1730-2010,6500
World,1730-2010,9300
Kosovo,1930,20900
Guadeloupe,1960,9000
Vietnam,1930,9000
Saint Pierre and Miquelon,1940,9000
Equatorial Guinea,1940,24100
Sweden,1920,6500
South Africa,1900,11600
Chad,1900,9300
Kosovo,1890,24100
World,1730-2010,9300
Greenland,1900,20900
World,1730-2010,5400
World,1730-2010,9300
New Caledonia,1940,11600
Botswana,1890,11600
World,1730-2010,12400
French Southern Territories,1930,11600
East Timor,1940,22200
World,1730-2010,24100
Belize,1880,6500
Mauritania,1930,9000
Chile,1930,5400
Burkina Faso,1900,5400
Niger,1940,43100
Samoa,1930,9000
Vatican City State (Holy See),1920,24100
Palau,1900,5400
Andorra,1890,12400
World,1730-2010,12400
United States,1900,9300
World,1730-2010,25800
World,1730-2010,17200
Andorra,1900,38600
World,1730-2010,17200
French Southern Territories,1930,5400
World,1730-2010,5400
World,1730-2010,11600
Seychelles,1910,17200
Mayotte,1930,12400
Central African Republic,1900,9000
World,1730-2010,12400
Poland,1940,9300
Hong Kong S.A.R.,1880,17200
World,1730-2010,20900
Korea North,1890,20900
Pakistan,1930,25800
Virgin Islands (British),1930,34700
Dominican Republic,1920,11600
Thailand,1890,9000
Bulgaria,1940,22200
Solomon Islands,1920,9300
Sri Lanka,1930,5400
Guyana,1920,25800
Western Sahara,1920,22200
Hong Kong S.A.R.,1910,25800
Man (Isle of),1880,11600
British Indian Ocean Territory,1940,6500
World,1730-2010,9000
Macedonia,1960,12400
Saint Kitts And Nevis,1860,12400
Guam,1940,22200
World,1730-2010,5400
Papua new Guinea,1940,9000
Mali,1880,9300
World,1730-2010,9300
Solomon Islands,1920,24100
Madagascar,1900,5400
Jamaica,1890,11600
Montserrat,1930,12400
World,1730-2010,3100
World,1730-2010,24100
South Sudan,1890,9000
Macedonia,1920,6500
Egypt,1930,9000
World,1730-2010,9300
World,1730-2010,49000
Andorra,1900,11600
Tunisia,1950,20900
French Southern Territories,1930,24100
France,1940,11600
Bahamas The,1920,6500
World,1730-2010,22200
Cote D'Ivoire (Ivory Coast),1920,24100
Latvia,1920,34400
Sao Tome and Principe,1930,22200
Fiji Islands,1910,9300
Tanzania,1890,12400
World,1730-2010,11600
Malaysia,1940,9000
Norway,1930,9000
World,1730-2010,9300
World,1730-2010,9300
Marshall Islands,1900,17200
Qatar,1920,24100
Oman,1920,9300
Montenegro,1940,9300
Nicaragua,1950,42800
Ethiopia,1900,9000
Northern Mariana Islands,1900,9000
World,1730-2010,12400
Fiji Islands,1900,24100
French Polynesia,1920,9000
Kosovo,1930,9000
Benin,1900,22200
Italy,1850,9000
Burundi,1930,22200
United States,1940,34400
Canada,1900,12400
Paraguay,1920,20900
Tunisia,1890,9300
Turkey,1950,12400
Nauru,1930,6500
Canada,1920,6500
French Southern Territories,1880,11600
Chile,1940,38600
Luxembourg,1920,9300
Bangladesh,1920,17200
World,1730-2010,20900
Switzerland,1920,6500
Papua new Guinea,1900,9300
Venezuela,1900,39500
Zambia,1930,6500
Ireland,1920,9300
Kuwait,1910,11600
Belgium,1940,9300
World,1730-2010,12400
World,1730-2010,12400
World,1730-2010,12400
Gambia The,1930,24100
Jersey,1930,9300
World,1730-2010,34400
Greece,1930,9000
Tajikistan,1940,9300
Turkmenistan,1930,11600
Dominica,1900,25800
Brazil,1920,12400
Myanmar,1920,5400
Macedonia,1920,9300
Lebanon,1920,17200
Ukraine,1920,22200
Morocco,1870,9300
World,1730-2010,17200
Ghana,1900,34700
Croatia (Hrvatska),1870,5400
Pakistan,1930,9300
World,1730-2010,12400
World,1730-2010,9300
Dominica,1900,22200
Cuba,1920,5400
Honduras,1950,22200
World,1730-2010,9000
Paraguay,1920,38600
Lebanon,1930,12400
Lesotho,1940,9000
Tuvalu,1910,9300
Macau S.A.R.,1940,22200
Gambia The,1900,9300
World,1730-2010,11600
Tunisia,1940,25800
Sri Lanka,1940,12400
World,1730-2010,38600
World,1730-2010,9300
Burkina Faso,1890,6500
Israel,1890,5400
China,1940,12400
Israel,1900,5400
World,1730-2010,5400
World,1730-2010,9000
World,1730-2010,22200
Guinea,1920,24100
Burkina Faso,1930,17200
Montserrat,1810,9300
Botswana,1870,34400
Armenia,1890,9000
Lebanon,1920,9300
Burkina Faso,1900,11600
World,1730-2010,17200
El Salvador,1940,42800
World,1730-2010,20900
World,1730-2010,20900
World,1730-2010,12400
Bahamas The,1900,12400
Spain,1940,3100
World,1730-2010,9300
Macedonia,1930,9300
World,1730-2010,12400
Jordan,1880,22200
French Southern Territories,1890,9000
Zimbabwe,1940,17200
Burkina Faso,1930,45500
World,1730-2010,11600
Mali,1930,20900
World,1730-2010,20900
World,1730-2010,22200
American Samoa,1930,6500
World,1730-2010,20900
World,1730-2010,9000
Kuwait,1920,20900
Mayotte,1940,3100
Macau S.A.R.,1900,24100
Madagascar,1910,20900
Wallis And Futuna Islands,1930,24100
Barbados,1920,9000
Italy,1960,9300
Saudi Arabia,1930,25800
Portugal,1920,12400
Andorra,1950,17200
World,1730-2010,5400
Congo The Democratic Republic Of The,1930,34700
World,1730-2010,24100
Sudan,1940,5400
South Georgia,1890,38600
World,1730-2010,17200
United States,1940,20900
Saint Lucia,1930,9300
Estonia,1950,6500
Austria,1950,17200
World,1730-2010,17200
Namibia,1910,17200
World,1730-2010,9000
Bulgaria,1930,9300
World,1730-2010,17200
Mongolia,1910,9000
Azerbaijan,1940,9300
Anguilla,1910,9300
Cayman Islands,1910,9000
Saint-Martin (French part),1940,9300
Paraguay,1890,20900
"Bonaire, Sint Eustatius and Saba",1930,39500
Angola,1930,11600
Iceland,1920,24100
Marshall Islands,1900,43100
Poland,1900,22200
World,1730-2010,11600
Iceland,1890,11600
Austria,1920,9300
Denmark,1910,3100
Bahrain,1900,5400
Belgium,1900,6500
Tunisia,1910,11600
Virgin Islands (British),1940,20900
World,1730-2010,6500
World,1730-2010,9300
Finland,1910,9000
Ecuador,1930,6500
World,1730-2010,5400
Germany,1960,12400
Andorra,1910,9000
Puerto Rico,1950,6500
World,1730-2010,9300
Venezuela,1920,12400
Cuba,1890,12400
Honduras,1930,12400
World,1730-2010,12400
Bahrain,1900,6500
Japan,1910,6500
Kosovo,1940,12400
World,1730-2010,42800
Luxembourg,1890,12400
Peru,1930,17200
World,1730-2010,3100
World,1730-2010,6500
Uzbekistan,1910,20900
France,1910,12400
Guernsey and Alderney,1900,3100
Senegal,1880,9000
Malawi,1820,11600
World,1730-2010,22200
Kosovo,1930,24100
World,1730-2010,6500
Rwanda,1890,20900
Trinidad And Tobago,1900,34400
Honduras,1930,25800
Hong Kong S.A.R.,1920,22200
Romania,1930,9000
World,1730-2010,12400
World,1730-2010,20900
World,1730-2010,17200
Ireland,1880,9000
Congo The Democratic Republic Of The,1940,11600
World,1730-2010,24100
Poland,1900,22200
Georgia,1940,17200
Dominica,1900,34700
World,1730-2010,9000
Switzerland,1920,9000
East Timor,1950,9300
Japan,1920,17200
World,1730-2010,9300
World,1730-2010,22200
World,1730-2010,3100
World,1730-2010,39500
World,1730-2010,9300
World,1730-2010,9000
World,1730-2010,11600
World,1730-2010,3100
French Southern Territories,1930,17200
Liechtenstein,1910,17200
Luxembourg,1890,6500
Serbia,1940,9300
Rwanda,1900,9300
Pakistan,1900,9000
World,1730-2010,11600
Guinea-Bissau,1890,5400
Wallis And Futuna Islands,1910,17200
Saint Lucia,1940,9300
Saint Kitts And Nevis,1920,3100
Tanzania,1920,34400
British Indian Ocean Territory,1920,12400
Cayman Islands,1940,5400
Bahrain,1950,6500
India,1920,6500
Chile,1880,9300
World,1730-2010,9300
Croatia (Hrvatska),1900,6500
World,1730-2010,11600
Hong Kong S.A.R.,1950,24100
Tonga,1920,17200
World,1730-2010,9000
India,1900,17200
World,1730-2010,12400
Macau S.A.R.,1930,25800
World,1730-2010,12400
Australia,1910,22200
Nigeria,1910,9000
Denmark,1910,9000
Paraguay,1880,34400
Tajikistan,1930,9000
Swaziland,1940,11600
Martinique,1930,11600
World,1730-2010,20900
Guam,1940,9000
Ethiopia,1910,22200
Iraq,1920,20900
New Zealand,1930,12400
World,1730-2010,9300
Qatar,1920,20900
World,1730-2010,11600
Belize,1860,11600
Niger,1950,22200
World,1730-2010,5400
World,1730-2010,22200
Kuwait,1950,9000
French Southern Territories,1930,12400
World,1730-2010,20900
Gabon,1880,3100
World,1730-2010,3100
Bulgaria,1920,34700
Sudan,1830,25800
Dominica,1910,11600
World,1730-2010,9300
World,1730-2010,9300
South Africa,1910,24100
Bulgaria,1940,5400
Kazakhstan,1890,12400
Senegal,1920,11600
Bahrain,1930,17200
Canada,1890,11600
World,1730-2010,22200
Morocco,1940,6500
Kuwait,1950,25800
Samoa,1920,22200
Palau,1920,20900
World,1730-2010,11600
Rwanda,1920,17200
Tanzania,1940,9300
Taiwan,1890,9300
Aland Islands,1950,9000
Saint-Barthelemy,1810,11600
Malaysia,1890,20900
Cayman Islands,1910,9000
Bermuda,1900,6500
Cayman Islands,1930,6500
World,1730-2010,12400
World,1730-2010,34400
Sudan,1830,9300
Iran,1930,11600
Libya,1920,6500
World,1730-2010,6500
Martinique,1940,9300
Pakistan,1920,9300
Saint Kitts And Nevis,1940,9300
World,1730-2010,39500
Mauritania,1930,6500
World,1730-2010,17200
World,1730-2010,9300
World,1730-2010,11600
Moldova,1910,5400
Laos,1920,9300
Austria,1920,20900
New Zealand,1880,6500
Cambodia,1930,6500
Germany,1910,9300
Central African Republic,1900,11600
Christmas Island,1930,17200
Brunei,1940,12400
Norfolk Island,1930,24100
Bulgaria,1940,20900
World,1730-2010,22200
World,1730-2010,9000
Tanzania,1920,9000
Armenia,1930,22200
World,1730-2010,11600
Central African Republic,1930,9000
Bahamas The,1930,22200
Myanmar,1920,6500
Turkey,1920,24100
American Samoa,1930,9000
Djibouti,1890,20900
Papua new Guinea,1920,22200
India,1890,20900
Iceland,1890,20900
Liechtenstein,1890,25800
Slovakia,1940,17200
Greece,1930,5400
World,1730-2010,17200
Haiti,1930,9300
Uzbekistan,1930,22200
World,1730-2010,9000
World,1730-2010,22200
World,1730-2010,9300
Vanuatu,1910,11600
Madagascar,1930,12400
World,1730-2010,9000
Barbados,1950,9300
Cote D'Ivoire (Ivory Coast),1930,20900
Turks And Caicos Islands,1910,12400
Martinique,1920,17200
Lebanon,1910,42800
Saint-Barthelemy,1810,9000
Gambia The,1940,17200
Greece,1940,9000
Ukraine,1910,9300
Colombia,1940,22200
Russia,1950,9300
World,1730-2010,11600
San Marino,1910,11600
World,1730-2010,38600
Cote D'Ivoire (Ivory Coast),1930,25800
Ukraine,1930,17200
World,1730-2010,17200
World,1730-2010,11600
World,1730-2010,11600
Trinidad And Tobago,1880,25800
World,1730-2010,9000
World,1730-2010,3100
Norway,1930,24100
Togo,1930,17200
Switzerland,1910,17200
Panama,1940,22200
Haiti,1940,12400
South Sudan,1940,9300
Colombia,1890,9000
Romania,1920,17200
Croatia (Hrvatska),1920,11600
World,1730-2010,9300
World,1730-2010,34400
World,1730-2010,9300
Armenia,1920,39500
World,1730-2010,22200
Guinea,1920,9300
Tuvalu,1890,5400
World,1730-2010,6500
World,1730-2010,9300
Madagascar,1910,9000
Andorra,1890,17200
Macau S.A.R.,1930,9000
Bhutan,1910,24100
Angola,1930,17200
Saudi Arabia,1930,24100
Niue,1900,11600
Afghanistan,1910,24100
Sierra Leone,1950,12400
Bahamas The,1910,11600
Marshall Islands,1940,17200
United Kingdom,1920,38600
Guyana,1950,9300
Bangladesh,1930,20900
Belgium,1900,34700
Venezuela,1930,22200
Papua new Guinea,1860,9000
Vanuatu,1950,34400
World,1730-2010,9000
Nigeria,1940,11600
Turkey,1890,9300
Sudan,1930,9000
Guatemala,1940,12400
Northern Mariana Islands,1940,34700
World,1730-2010,24100
World,1730-2010,5400
Andorra,1950,20900
Poland,1920,20900
Norfolk Island,1900,34400
World,1730-2010,11600
Portugal,1920,6500
World,1730-2010,12400
World,1730-2010,9300
World,1730-2010,22200
Portugal,1940,20900
Togo,1890,20900
Andorra,1890,17200
Uganda,1930,3100
Antigua And Barbuda,1920,17200
World,1730-2010,24100
Man (Isle of),1920,25800
Lithuania,1910,24100
Italy,1920,9000
Equatorial Guinea,1910,5400
Sri Lanka,1930,6500
Peru,1900,20900
World,1730-2010,11600
Serbia,1890,9300
Reunion,1920,22200
United States,1900,5400
Micronesia,1930,24100
World,1730-2010,9300
Martinique,1930,12400
Argentina,1920,6500
World,1730-2010,6500
Northern Mariana Islands,1900,9300
Benin,1920,24100
Congo The Democratic Republic Of The,1910,3100
World,1730-2010,22200
Czech Republic,1940,42800
Sweden,1920,12400
Burundi,1940,9300
Suriname,1910,5400
Guatemala,1930,9300
World,1730-2010,42800
World,1730-2010,9300
Fiji Islands,1930,22200
El Salvador,1930,17200
Faroe Islands,1880,34700
Namibia,1930,3100
French Southern Territories,1930,9300
Congo The Democratic Republic Of The,1900,9300
Serbia,1920,9000
Tonga,1920,9000
Tanzania,1930,9000
Greenland,1900,6500
El Salvador,1900,5400
World,1730-2010,5400
Laos,1900,49000
Cyprus,1880,17200
Cyprus,1930,9300
World,1730-2010,6500
World,1730-2010,9300
United Kingdom,1910,22200
Tajikistan,1920,9300
Uzbekistan,1940,12400
World,1730-2010,11600
Panama,1940,25800
Greece,1880,25800
World,1730-2010,34400
South Africa,1880,34400
Monaco,1920,17200
Spain,1960,9300
Grenada,1960,17200
Bangladesh,1920,11600
Svalbard And Jan Mayen Islands,1900,9000
Italy,1920,20900
Nigeria,1920,12400
Korea North,1930,25800
World,1730-2010,24100
Cote D'Ivoire (Ivory Coast),1920,11600
Tunisia,1890,9000
