Region,BeginDate,Income ($)
Port Vila; Vanuatu; Melanesia; Oceania,1930,20900
Ottawa; Canada; Northern America; Americas,1955,11600
Monaco; Monaco; Western Europe; Europe,1926,6500
Helsinki; Finland; Northern Europe; Europe,1935,9300
Riga; Latvia; Northern Europe; Europe,1942,24100
Port Moresby; Papua new Guinea; Melanesia; Oceania,1923,9300
Bissau; Guinea-Bissau; Western Africa; Africa,1923,6500
Castries; Saint Lucia; Caribbean; Americas,1902,11600
Montevideo; Uruguay; South America; Americas,1888,45500
St. George's; Grenada; Caribbean; Americas,1930,9000
Guatemala City; Guatemala; Central America; Americas,1914,9300
Khartoum; Sudan; Northern Africa; Africa,1931,9300
Moroni; Comoros; Eastern Africa; Africa,1895,9300
Abuja; Nigeria; Western Africa; Africa,1827,11600
Nicosia; Cyprus; Southern Europe; Europe,2005,11600
Djibouti; Djibouti; Eastern Africa; Africa,1915,42800
Tbilisi; Georgia; Western Asia; Asia,1896,9300
Oranjestad; Aruba; Caribbean; Americas,1864,12400
Tehran; Iran; Southern Asia; Asia,1829,17200
Castries; Saint Lucia; Caribbean; Americas,1936,9300
Ashgabat; Turkmenistan; Central Asia; Asia,1936,9300
The Valley; Anguilla; Caribbean; Americas,1934,17200
Bissau; Guinea-Bissau; Western Africa; Africa,1926,20900
Colombo; Sri Lanka; Southern Asia; Asia,1922,42800
Tallinn; Estonia; Northern Europe; Europe,1918,17200
Saint Helier; Jersey; Northern Europe; Europe,1930,3100
Maseru; Lesotho; Southern Africa; Africa,1838,22200
Bangkok; Thailand; South-Eastern Asia; Asia,1948,24100
Malabo; Equatorial Guinea; Middle Africa; Africa,1921,42800
Brasilia; Brazil; South America; Americas,1891,9300
Amman; Jordan; Western Asia; Asia,1929,22200
Riga; Latvia; Northern Europe; Europe,1936,11600
Lilongwe; Malawi; Eastern Africa; Africa,1923,3100
Colombo; Sri Lanka; Southern Asia; Asia,1887,20900
Madrid; Spain; Southern Europe; Europe,1896,9300
St. George's; Grenada; Caribbean; Americas,1909,12400
Ottawa; Canada; Northern America; Americas,1888,9000
Maseru; Lesotho; Southern Africa; Africa,1803,9300
London; United Kingdom; Northern Europe; Europe,1929,22200
Saint-Denis; Reunion; Eastern Africa; Africa,1912,11600
Ulan Bator; Mongolia; Eastern Asia; Asia,1902,9000
Accra; Ghana; Western Africa; Africa,1939,9300
Port Moresby; Papua new Guinea; Melanesia; Oceania,1928,11600
Dodoma; Tanzania; Eastern Africa; Africa,1929,38600
Tarawa; Kiribati; Micronesia; Oceania,1804,24100
Kuala Lumpur; Malaysia; South-Eastern Asia; Asia,1916,6500
Santiago; Chile; South America; Americas,1887,6500
Banjul; Gambia The; Western Africa; Africa,1893,34700
Noumea; New Caledonia; Melanesia; Oceania,1924,9300
San Jose; Costa Rica; Central America; Americas,1898,11600
Manama; Bahrain; Western Asia; Asia,1857,5400
Accra; Ghana; Western Africa; Africa,1900,17200
Victoria; Seychelles; Eastern Africa; Africa,1799,11600
Vientiane; Laos; South-Eastern Asia; Asia,1940,11600
Santo Domingo; Dominican Republic; Caribbean; Americas,1873,24100
Hagatna; Guam; Micronesia; Oceania,1939,9300
Guatemala City; Guatemala; Central America; Americas,1913,9300
Fort-de-France; Martinique; Caribbean; Americas,1938,6500
Basseterre; Saint Kitts And Nevis; Caribbean; Americas,1924,9000
Sarajevo; Bosnia and Herzegovina; Southern Europe; Europe,1811,9300
Maseru; Lesotho; Southern Africa; Africa,1931,17200
Canberra; Australia; Australia and New Zealand; Oceania,1930,17200
Port Louis; Mauritius; Eastern Africa; Africa,1803,24100
Kingston; Norfolk Island; Australia and New Zealand; Oceania,1891,9300
Singapur; Singapore; South-Eastern Asia; Asia,1800,9300
Brasilia; Brazil; South America; Americas,1921,17200
Jerusalem; Israel; Western Asia; Asia,1936,17200
Kingston; Norfolk Island; Australia and New Zealand; Oceania,1923,12400
Bangkok; Thailand; South-Eastern Asia; Asia,1910,38600
Pago Pago; American Samoa; Polynesia; Oceania,1885,9300
Marigot; Saint-Martin (French part); Caribbean; Americas,1965,9300
Athens; Greece; Southern Europe; Europe,1901,22200
Reykjavik; Iceland; Northern Europe; Europe,1929,5400
Dushanbe; Tajikistan; Central Asia; Asia,1931,9300
Skopje; Macedonia; Southern Europe; Europe,1946,20900
Phnom Penh; Cambodia; South-Eastern Asia; Asia,1943,20900
Abuja; Nigeria; Western Africa; Africa,1921,6500
Nouakchott; Mauritania; Western Africa; Africa,1942,9000
Budapest; Hungary; Eastern Europe; Europe,1902,25800
Saipan; Northern Mariana Islands; Micronesia; Oceania,1926,6500
Montevideo; Uruguay; South America; Americas,1875,12400
Mexico City; Mexico; Central America; Americas,1892,5400
Nicosia; Cyprus; Southern Europe; Europe,1891,12400
Paris; France; Western Europe; Europe,1928,3100
Basse-Terre; Guadeloupe; Caribbean; Americas,1810,9300
Bamako; Mali; Western Africa; Africa,1913,9300
Sanaa; Yemen; Western Asia; Asia,1951,11600
London; United Kingdom; Northern Europe; Europe,1899,49000
Saint Helier; Jersey; Northern Europe; Europe,1922,6500
Kiev; Ukraine; Eastern Europe; Europe,1909,5400
Pyongyang; Korea North; Eastern Asia; Asia,1895,9300
Paramaribo; Suriname; South America; Americas,1952,20900
Beijing; China; Eastern Asia; Asia,1936,11600
Ottawa; Canada; Northern America; Americas,1894,9300
Bratislava; Slovakia; Eastern Europe; Europe,1916,9000
Tashkent; Uzbekistan; Central Asia; Asia,1944,3100
Mogadishu; Somalia; Eastern Africa; Africa,1956,9000
Sucre; Bolivia; South America; Americas,1929,12400
Kuwait City; Kuwait; Western Asia; Asia,1894,9000
Dili; East Timor; South-Eastern Asia; Asia,1911,17200
Dhaka; Bangladesh; Southern Asia; Asia,1931,9300
Guatemala City; Guatemala; Central America; Americas,1924,6500
Amman; Jordan; Western Asia; Asia,1934,17200
Nuuk; Greenland; Northern America; Americas,1947,6500
Asmara; Eritrea; Eastern Africa; Africa,1925,9000
Nairobi; Kenya; Eastern Africa; Africa,1930,9000
Moscow; Russia; Eastern Europe; Europe,1952,9000
Gibraltar; Gibraltar; Southern Europe; Europe,1899,5400
Hong Kong; Hong Kong S.A.R.; Eastern Asia; Asia,1924,6500
The Valley; Anguilla; Caribbean; Americas,1965,22200
Tokyo; Japan; Eastern Asia; Asia,1946,9000
Tegucigalpa; Honduras; Central America; Americas,1938,9000
Berlin; Germany; Western Europe; Europe,1903,6500
Hong Kong; Hong Kong S.A.R.; Eastern Asia; Asia,1866,22200
Havana; Cuba; Caribbean; Americas,1887,9300
Ljubljana; Slovenia; Southern Europe; Europe,1915,43100
N'Djamena; Chad; Middle Africa; Africa,1929,17200
Havana; Cuba; Caribbean; Americas,1931,9300
West Island; Cocos (Keeling) Islands; Australia and New Zealand; Oceania,1939,9300
Budapest; Hungary; Eastern Europe; Europe,1889,9000
Bujumbura; Burundi; Eastern Africa; Africa,1813,22200
Podgorica; Montenegro; Southern Europe; Europe,1913,9300
Conakry; Guinea; Western Africa; Africa,1925,12400
Reykjavik; Iceland; Northern Europe; Europe,1871,9300
Vientiane; Laos; South-Eastern Asia; Asia,1914,12400
Rome; Italy; Southern Europe; Europe,1902,17200
Tashkent; Uzbekistan; Central Asia; Asia,1938,34700
Marigot; Saint-Martin (French part); Caribbean; Americas,1931,17200
Quito; Ecuador; South America; Americas,1908,17200
Dodoma; Tanzania; Eastern Africa; Africa,1945,9300
Philipsburg; Sint Maarten (Dutch part); Caribbean; Americas,1948,11600
Bern; Switzerland; Western Europe; Europe,1928,3100
Dili; East Timor; South-Eastern Asia; Asia,1934,17200
Oslo; Norway; Northern Europe; Europe,1934,17200
Athens; Greece; Southern Europe; Europe,1902,9300
Athens; Greece; Southern Europe; Europe,1920,24100
Maseru; Lesotho; Southern Africa; Africa,1888,24100
Kuwait City; Kuwait; Western Asia; Asia,1944,11600
George Town; Cayman Islands; Caribbean; Americas,1957,20900
Stanley; Falkland Islands; South America; Americas,1943,17200
Pristina; Kosovo; Eastern Europe; Europe,1825,11600
Yamoussoukro; Cote D'Ivoire (Ivory Coast); Western Africa; Africa,1921,12400
Roseau; Dominica; Caribbean; Americas,1942,12400
Ljubljana; Slovenia; Southern Europe; Europe,1921,9000
Bucharest; Romania; Eastern Europe; Europe,1870,9300
Bridgetown; Barbados; Caribbean; Americas,1819,25800
Yerevan; Armenia; Western Asia; Asia,1908,9300
Jakarta; Indonesia; South-Eastern Asia; Asia,1880,9300
Bamako; Mali; Western Africa; Africa,1934,11600
Yaren; Nauru; Micronesia; Oceania,1911,22200
Doha; Qatar; Western Asia; Asia,1945,24100
Addis Ababa; Ethiopia; Eastern Africa; Africa,1926,42800
Tegucigalpa; Honduras; Central America; Americas,1929,9300
Kingston; Norfolk Island; Australia and New Zealand; Oceania,1991,5400
Minsk; Belarus; Eastern Europe; Europe,1889,34700
Antananarivo; Madagascar; Eastern Africa; Africa,1947,5400
Reykjavik; Iceland; Northern Europe; Europe,1938,12400
Saint Helier; Jersey; Northern Europe; Europe,1854,9300
Mata Utu; Wallis And Futuna Islands; Polynesia; Oceania,1936,5400
Castries; Saint Lucia; Caribbean; Americas,1923,5400
Georgetown; Guyana; South America; Americas,1946,24100
Canberra; Australia; Australia and New Zealand; Oceania,1921,9300
Minsk; Belarus; Eastern Europe; Europe,1907,42800
Valletta; Malta; Southern Europe; Europe,1941,17200
Nuuk; Greenland; Northern America; Americas,1922,45500
Gustavia; Saint-Barthelemy; Caribbean; Americas,1931,3100
Djibouti; Djibouti; Eastern Africa; Africa,1892,9300
George Town; Cayman Islands; Caribbean; Americas,1954,22200
Hamilton; Bermuda; Northern America; Americas,1924,9000
Yerevan; Armenia; Western Asia; Asia,1895,20900
Beijing; China; Eastern Asia; Asia,1917,9300
Maputo; Mozambique; Eastern Africa; Africa,1920,39500
Tripolis; Libya; Northern Africa; Africa,1938,17200
Basseterre; Saint Kitts And Nevis; Caribbean; Americas,1933,12400
Diego Garcia; British Indian Ocean Territory; Eastern Africa; Africa,1922,9000
Port-au-Prince; Haiti; Caribbean; Americas,1960,22200
Chisinau; Moldova; Eastern Europe; Europe,1943,34400
Rome; Italy; Southern Europe; Europe,1920,9300
Mata Utu; Wallis And Futuna Islands; Polynesia; Oceania,1926,11600
Nairobi; Kenya; Eastern Africa; Africa,1931,9000
Tarawa; Kiribati; Micronesia; Oceania,1897,34400
Tegucigalpa; Honduras; Central America; Americas,1888,3100
Saint-Denis; Reunion; Eastern Africa; Africa,1943,20900
East Jerusalem; Palestinian Territory Occupied; Western Asia; Asia,1932,5400
Taipei; Taiwan; Eastern Asia; Asia,1900,20900
St. George's; Grenada; Caribbean; Americas,1905,9000
Dushanbe; Tajikistan; Central Asia; Asia,1871,3100
Gibraltar; Gibraltar; Southern Europe; Europe,1873,5400
Bogota; Colombia; South America; Americas,1868,22200
Lilongwe; Malawi; Eastern Africa; Africa,1889,9300
Phnom Penh; Cambodia; South-Eastern Asia; Asia,1934,9300
Gustavia; Saint-Barthelemy; Caribbean; Americas,1819,24100
Djibouti; Djibouti; Eastern Africa; Africa,1939,3100
Maseru; Lesotho; Southern Africa; Africa,1924,9300
Taipei; Taiwan; Eastern Asia; Asia,1889,3100
Beijing; China; Eastern Asia; Asia,1889,24100
Hanoi; Vietnam; South-Eastern Asia; Asia,1944,12400
Saint-Pierre; Saint Pierre and Miquelon; Northern America; Americas,1903,5400
Thimphu; Bhutan; Southern Asia; Asia,1797,9300
Adamstown; Pitcairn Island; Polynesia; Oceania,1936,12400
Port Vila; Vanuatu; Melanesia; Oceania,1801,22200
Santo Domingo; Dominican Republic; Caribbean; Americas,1900,5400
Dodoma; Tanzania; Eastern Africa; Africa,1940,9300
Nouakchott; Mauritania; Western Africa; Africa,1937,9000
Vilnius; Lithuania; Northern Europe; Europe,1943,11600
Thimphu; Bhutan; Southern Asia; Asia,1904,5400
Bamako; Mali; Western Africa; Africa,1923,9000
Kiev; Ukraine; Eastern Europe; Europe,1912,24100
Fort-de-France; Martinique; Caribbean; Americas,1879,9000
Bishkek; Kyrgyzstan; Central Asia; Asia,1931,22200
Palikir; Micronesia; Micronesia; Oceania,1903,9300
Road Town; Virgin Islands (British); Caribbean; Americas,1956,6500
San Salvador; El Salvador; Central America; Americas,1911,9300
Taipei; Taiwan; Eastern Asia; Asia,1872,17200
George Town; Cayman Islands; Caribbean; Americas,1939,17200
Tokyo; Japan; Eastern Asia; Asia,1913,9300
Asmara; Eritrea; Eastern Africa; Africa,1825,22200
Dublin; Ireland; Northern Europe; Europe,1904,17200
Astana; Kazakhstan; Central Asia; Asia,1844,17200
Athens; Greece; Southern Europe; Europe,1923,17200
Honiara; Solomon Islands; Melanesia; Oceania,1895,24100
Montevideo; Uruguay; South America; Americas,1946,11600
Wellington; New Zealand; Australia and New Zealand; Oceania,1931,6500
Philipsburg; Sint Maarten (Dutch part); Caribbean; Americas,1916,9000
Nuku'alofa; Tonga; Polynesia; Oceania,1932,24100
Tirana; Albania; Southern Europe; Europe,1902,17200
Palikir; Micronesia; Micronesia; Oceania,1962,9300
Bujumbura; Burundi; Eastern Africa; Africa,1913,9000
Pristina; Kosovo; Eastern Europe; Europe,1946,11600
Minsk; Belarus; Eastern Europe; Europe,1884,12400
Mata Utu; Wallis And Futuna Islands; Polynesia; Oceania,1816,34700
Damascus; Syria; Western Asia; Asia,1886,12400
Athens; Greece; Southern Europe; Europe,1899,9000
Maseru; Lesotho; Southern Africa; Africa,1887,22200
St Peter Port; Guernsey and Alderney; Northern Europe; Europe,1872,9300
St. George's; Grenada; Caribbean; Americas,1944,6500
Lilongwe; Malawi; Eastern Africa; Africa,1866,17200
Port Moresby; Papua new Guinea; Melanesia; Oceania,1868,12400
New Delhi; India; Southern Asia; Asia,1916,24100
Saint-Pierre; Saint Pierre and Miquelon; Northern America; Americas,1939,22200
Port-aux-Francais; French Southern Territories; Southern Africa; Africa,1922,11600
Road Town; Virgin Islands (British); Caribbean; Americas,1913,25800
Beijing; China; Eastern Asia; Asia,1848,20900
Noumea; New Caledonia; Melanesia; Oceania,1939,11600
Warsaw; Poland; Eastern Europe; Europe,1879,20900
Alofi; Niue; Polynesia; Oceania,1830,25800
Dakar; Senegal; Western Africa; Africa,1907,9000
Sarajevo; Bosnia and Herzegovina; Southern Europe; Europe,1930,9300
Bishkek; Kyrgyzstan; Central Asia; Asia,1942,11600
Vientiane; Laos; South-Eastern Asia; Asia,1886,9000
Paris; France; Western Europe; Europe,1935,12400
Taipei; Taiwan; Eastern Asia; Asia,1902,12400
Willemstad; Curaçao; Caribbean; Americas,1873,20900
Plymouth; Montserrat; Caribbean; Americas,1882,9300
Colombo; Sri Lanka; Southern Asia; Asia,1947,17200
Pyongyang; Korea North; Eastern Asia; Asia,1922,20900
Adamstown; Pitcairn Island; Polynesia; Oceania,1949,12400
Luanda; Angola; Middle Africa; Africa,1896,11600
Dili; East Timor; South-Eastern Asia; Asia,1807,34700
Belmopan; Belize; Central America; Americas,1903,3100
Sao Tome; Sao Tome and Principe; Middle Africa; Africa,1897,3100
N'Djamena; Chad; Middle Africa; Africa,1959,11600
Guatemala City; Guatemala; Central America; Americas,1873,5400
Belmopan; Belize; Central America; Americas,1929,6500
N'Djamena; Chad; Middle Africa; Africa,1943,17200
Funafuti; Tuvalu; Polynesia; Oceania,1940,9000
Vientiane; Laos; South-Eastern Asia; Asia,1937,12400
Lome; Togo; Western Africa; Africa,1882,3100
Porto-Novo; Benin; Western Africa; Africa,1941,6500
Vienna; Austria; Western Europe; Europe,1934,12400
Colombo; Sri Lanka; Southern Asia; Asia,1942,9300
Praia; Cape Verde; Western Africa; Africa,1927,22200
Nay Pyi Taw; Myanmar; South-Eastern Asia; Asia,1933,9300
Plymouth; Montserrat; Caribbean; Americas,1843,3100
Alofi; Niue; Polynesia; Oceania,1917,17200
Basseterre; Saint Kitts And Nevis; Caribbean; Americas,1870,17200
Ottawa; Canada; Northern America; Americas,1938,9300
Riyadh; Saudi Arabia; Western Asia; Asia,1907,34400
Diego Garcia; British Indian Ocean Territory; Eastern Africa; Africa,1889,12400
Tokyo; Japan; Eastern Asia; Asia,1924,17200
Chisinau; Moldova; Eastern Europe; Europe,1897,38600
Roseau; Dominica; Caribbean; Americas,1902,24100
Dodoma; Tanzania; Eastern Africa; Africa,1913,9000
Saint Helier; Jersey; Northern Europe; Europe,1915,11600
Mogadishu; Somalia; Eastern Africa; Africa,1937,9300
Bratislava; Slovakia; Eastern Europe; Europe,1952,5400
Kiev; Ukraine; Eastern Europe; Europe,1938,9000
Saint-Pierre; Saint Pierre and Miquelon; Northern America; Americas,1943,9300
Ulan Bator; Mongolia; Eastern Asia; Asia,1924,22200
Hanoi; Vietnam; South-Eastern Asia; Asia,1881,9300
Bern; Switzerland; Western Europe; Europe,1946,9300
Nouakchott; Mauritania; Western Africa; Africa,1896,3100
Bucharest; Romania; Eastern Europe; Europe,1942,3100
Brazzaville; Congo; Middle Africa; Africa,1894,9300
Nay Pyi Taw; Myanmar; South-Eastern Asia; Asia,1899,25800
Brazzaville; Congo; Middle Africa; Africa,1903,22200
Santo Domingo; Dominican Republic; Caribbean; Americas,1895,5400
George Town; Cayman Islands; Caribbean; Americas,1926,22200
Mbabane; Swaziland; Southern Africa; Africa,1951,9300
Antananarivo; Madagascar; Eastern Africa; Africa,1914,12400
Washington; United States; Northern America; Americas,1922,24100
New Delhi; India; Southern Asia; Asia,1929,24100
Juba; South Sudan; Middle Africa; Africa,1808,9000
Mbabane; Swaziland; Southern Africa; Africa,1868,9300
Seoul; Korea South; Eastern Asia; Asia,1900,11600
Mbabane; Swaziland; Southern Africa; Africa,1860,17200
Basseterre; Saint Kitts And Nevis; Caribbean; Americas,1943,17200
Vatican City; Vatican City State (Holy See); Southern Europe; Europe,1883,9300
Nairobi; Kenya; Eastern Africa; Africa,1905,5400
Caracas; Venezuela; South America; Americas,1905,24100
Hong Kong; Hong Kong S.A.R.; Eastern Asia; Asia,1933,12400
Port of Spain; Trinidad And Tobago; Caribbean; Americas,1942,17200
Bangui; Central African Republic; Middle Africa; Africa,1939,20900
Oslo; Norway; Northern Europe; Europe,1896,9300
Luanda; Angola; Middle Africa; Africa,1933,25800
Tegucigalpa; Honduras; Central America; Americas,1927,9300
Marigot; Saint-Martin (French part); Caribbean; Americas,1897,11600
Bamako; Mali; Western Africa; Africa,1793,6500
Cayenne; French Guiana; South America; Americas,1893,11600
Majuro; Marshall Islands; Micronesia; Oceania,1935,9300
Wellington; New Zealand; Australia and New Zealand; Oceania,1872,34700
Bujumbura; Burundi; Eastern Africa; Africa,1939,17200
George Town; Cayman Islands; Caribbean; Americas,1922,34400
Mbabane; Swaziland; Southern Africa; Africa,1915,9300
Sarajevo; Bosnia and Herzegovina; Southern Europe; Europe,1905,12400
Kinshasa; Congo The Democratic Republic Of The; Middle Africa; Africa,1849,9300
Noumea; New Caledonia; Melanesia; Oceania,1911,20900
Flying Fish Cove; Christmas Island; Australia and New Zealand; Oceania,1914,17200
Maputo; Mozambique; Eastern Africa; Africa,1958,11600
Harare; Zimbabwe; Eastern Africa; Africa,1851,11600
Rome; Italy; Southern Europe; Europe,1899,12400
San Juan; Puerto Rico; Caribbean; Americas,1914,22200
Sanaa; Yemen; Western Asia; Asia,1921,9300
